Conventions,G,BADC-CSV,1
title,G,uk-daily-rain-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202107
history,G,Created 2021-07-15
last_revised_date,G,2021-07-15
observation_station,G,orkney-loch-of-hundland
historic_county_name,G,orkney
midas_station_id,G,25315
location,G,59.112,-3.229
height,G,28,m
date_valid,G,2012-01-01 00:00:00,2012-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_date,t
long_name,ob_date,Date of observation,s
type,ob_date,char
comments,ob_date,Date and time (YYYY-MM-DD HH:MM:SS) of the observation
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,ob_day_cnt,Observation day count,day
type,ob_day_cnt,int
long_name,ob_end_ctime,clock time at end of observation as HHMM,s
type,ob_end_ctime,char
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,prcp_amt,Precipitation amount,mm
type,prcp_amt,float
long_name,ob_day_cnt_q,QC code: observation day count,1
type,ob_day_cnt_q,int
long_name,prcp_amt_q,QC code: precipitation amount,1
type,prcp_amt_q,int
long_name,prcp_amt_j,Descriptor: precipitation amount,1
type,prcp_amt_j,int
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS ,minutes
type,midas_stmp_etime,int
data
ob_date,id,id_type,version_num,met_domain_name,ob_end_ctime,ob_day_cnt,src_id,rec_st_ind,prcp_amt,ob_day_cnt_q,prcp_amt_q,prcp_amt_j,meto_stmp_time,midas_stmp_etime
2012-01-01 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,5.2,0,6,NA,2012-01-01 09:35:39,0
2012-01-02 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,2,0,6,NA,2012-01-02 10:54:03,0
2012-01-03 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,5.3,0,6,NA,2012-01-03 09:27:21,0
2012-01-04 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,8,0,6,NA,2012-01-04 09:28:58,0
2012-01-05 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,22.4,0,6,NA,2012-01-05 09:39:52,0
2012-01-06 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,1.5,0,6,NA,2012-01-06 09:29:54,0
2012-01-07 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,3.2,0,6,NA,2012-01-07 09:38:44,0
2012-01-08 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,2.2,0,6,NA,2012-01-08 11:06:50,0
2012-01-09 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,17.8,0,6,NA,2012-01-09 09:36:32,0
2012-01-10 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,6.9,0,6,NA,2012-01-10 09:43:51,0
2012-01-11 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,7.3,0,6,NA,2012-01-11 09:22:15,0
2012-01-12 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,20.3,0,6,NA,2012-01-12 09:28:16,0
2012-01-13 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,1.1,0,6,NA,2012-01-13 09:31:30,0
2012-01-14 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0.3,0,6,NA,2012-01-14 13:28:10,0
2012-01-15 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0,0,6,NA,2012-01-15 09:27:32,0
2012-01-16 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0,0,6,NA,2012-01-16 09:27:36,0
2012-01-17 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0,0,6,NA,2012-01-17 09:17:11,0
2012-01-18 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,3.5,0,6,NA,2012-01-18 09:38:06,0
2012-01-19 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,4.9,0,6,NA,2012-01-19 09:28:55,0
2012-01-20 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,9.2,0,6,NA,2012-01-20 09:08:27,0
2012-01-21 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,5.2,0,6,NA,2012-01-21 09:43:39,0
2012-01-22 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,7.5,0,6,NA,2012-01-22 09:22:05,0
2012-01-23 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,7.6,0,6,NA,2012-01-23 09:19:10,0
2012-01-24 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0.4,0,6,NA,2012-01-24 09:27:30,0
2012-01-25 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,4.4,0,6,NA,2012-01-25 09:21:03,0
2012-01-26 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,4.5,0,6,NA,2012-01-26 16:23:22,0
2012-01-27 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,1.6,0,6,NA,2012-01-27 09:15:51,0
2012-01-28 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0.4,0,6,NA,2012-01-28 09:30:57,0
2012-01-29 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0.7,0,6,NA,2012-01-29 09:19:08,0
2012-01-30 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0.8,0,6,NA,2012-01-30 09:20:32,0
2012-01-31 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0,0,6,NA,2012-01-31 09:25:31,0
2012-02-01 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0,0,6,NA,2012-02-01 09:15:52,0
2012-02-02 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0.1,0,6,NA,2012-02-02 09:29:13,0
2012-02-03 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0,0,6,NA,2012-02-03 09:20:57,0
2012-02-04 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,6.8,0,6,NA,2012-02-04 09:39:29,0
2012-02-05 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,13.5,0,6,NA,2012-02-05 09:31:57,0
2012-02-06 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,1,0,6,NA,2012-02-06 09:34:32,0
2012-02-07 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0,0,6,NA,2012-02-07 09:28:25,0
2012-02-08 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0,0,6,NA,2012-02-08 09:17:05,0
2012-02-09 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,6.1,0,6,NA,2012-02-09 09:25:58,0
2012-02-10 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0.2,0,6,NA,2012-02-10 09:25:46,0
2012-02-11 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,2.1,0,6,NA,2012-02-11 09:39:59,0
2012-02-12 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0.1,0,6,NA,2012-02-12 10:28:10,0
2012-02-13 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,1.1,0,6,NA,2012-02-13 09:27:15,0
2012-02-14 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0,0,6,NA,2012-02-14 09:11:16,0
2012-02-15 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,0.2,0,6,NA,2012-02-15 09:20:33,0
2012-02-16 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,2.2,0,6,NA,2012-02-16 09:16:38,0
2012-02-17 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,2.6,0,6,NA,2012-02-17 09:34:30,0
2012-02-18 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,6.2,0,6,NA,2012-02-18 09:27:35,0
2012-02-19 00:00:00,765936,RAIN,1,DLY3208,900,1,25315,1011,1.4,0,6,NA,2012-02-19 09:44:08,0
