Conventions,G,BADC-CSV,1
title,G,uk-daily-rain-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202107
history,G,Created 2021-07-15
last_revised_date,G,2021-07-15
observation_station,G,rackwick
historic_county_name,G,orkney
midas_station_id,G,00019
location,G,58.873,-3.387
height,G,18,m
date_valid,G,2000-01-01 00:00:00,2000-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_date,t
long_name,ob_date,Date of observation,s
type,ob_date,char
comments,ob_date,Date and time (YYYY-MM-DD HH:MM:SS) of the observation
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,ob_day_cnt,Observation day count,day
type,ob_day_cnt,int
long_name,ob_end_ctime,clock time at end of observation as HHMM,s
type,ob_end_ctime,char
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,prcp_amt,Precipitation amount,mm
type,prcp_amt,float
long_name,ob_day_cnt_q,QC code: observation day count,1
type,ob_day_cnt_q,int
long_name,prcp_amt_q,QC code: precipitation amount,1
type,prcp_amt_q,int
long_name,prcp_amt_j,Descriptor: precipitation amount,1
type,prcp_amt_j,int
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS ,minutes
type,midas_stmp_etime,int
data
ob_date,id,id_type,version_num,met_domain_name,ob_end_ctime,ob_day_cnt,src_id,rec_st_ind,prcp_amt,ob_day_cnt_q,prcp_amt_q,prcp_amt_j,meto_stmp_time,midas_stmp_etime
2000-02-01 00:00:00,768249,RAIN,1,NCM,900,31,19,1022,115.8,0,22576,NA,2000-08-11 15:07:00,10441
2000-02-02 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,7.6,0,6,NA,2000-02-02 08:57:00,300196
2000-02-03 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,6.7,0,6,NA,2000-02-03 08:58:00,298755
2000-02-04 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.6,0,6,NA,2000-02-04 08:56:00,297317
2000-02-05 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.3,0,6,NA,2000-02-05 08:53:00,295880
2000-02-06 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.7,0,6,NA,2000-02-06 08:53:00,294440
2000-02-07 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1.5,0,6,NA,2000-02-07 08:55:00,292998
2000-02-08 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5.7,0,6,NA,2000-02-08 08:55:00,291558
2000-02-09 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,9.1,0,6,NA,2000-02-09 08:59:00,290114
2000-02-10 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.3,0,6,NA,2000-02-10 08:59:00,288674
2000-02-11 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,10.1,0,6,NA,2000-02-11 08:55:00,287238
2000-02-12 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1,0,6,NA,2000-02-12 08:54:00,285799
2000-02-13 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,14.3,0,6,NA,2000-02-13 08:56:00,284357
2000-02-14 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.6,0,6,NA,2000-02-14 08:52:00,282921
2000-02-15 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,15.7,0,6,NA,2000-02-15 09:00:00,281473
2000-02-16 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.6,0,6,NA,2000-02-16 09:01:00,280032
2000-02-17 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4,0,6,NA,2000-02-17 08:57:00,278596
2000-02-18 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,1,0,6,NA,2000-02-18 08:54:00,277159
2000-02-19 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2,0,6,NA,2000-02-19 09:04:00,275709
2000-02-20 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.3,0,6,NA,2000-02-20 08:53:00,274280
2000-02-21 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,7.1,0,6,NA,2000-02-21 08:57:00,272836
2000-02-22 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.3,0,6,NA,2000-02-22 08:56:00,271397
2000-02-23 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0,0,10006,NA,2000-02-23 08:56:00,269957
2000-02-24 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5.8,0,6,NA,2000-02-24 08:57:00,268516
2000-02-25 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,12.5,0,6,NA,2000-02-25 08:57:00,267076
2000-02-26 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.8,0,6,NA,2000-02-26 08:58:00,265635
2000-02-27 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.5,0,6,NA,2000-02-27 08:56:00,264197
2000-02-28 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5.8,0,6,NA,2000-02-28 08:57:00,262756
2000-02-29 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,7.7,0,6,NA,2000-02-29 09:33:00,261280
2000-03-01 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,3.1,0,6,NA,2000-03-01 08:54:00,259879
2000-03-02 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5.6,0,6,NA,2000-03-02 08:58:00,281479
2000-03-03 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5,0,6,NA,2000-03-03 08:59:00,280038
2000-03-04 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,4.4,0,6,NA,2000-03-04 08:58:00,278599
2000-03-05 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.8,0,6,NA,2000-03-05 08:54:00,277163
2000-03-06 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,6,0,6,NA,2000-03-06 08:55:00,275722
2000-03-07 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,16.7,0,6,NA,2000-03-07 09:35:00,274242
2000-03-08 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,8.4,0,6,NA,2000-03-08 08:55:00,272842
2000-03-09 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,6.1,0,6,NA,2000-03-09 09:00:00,271397
2000-03-10 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,8,0,6,NA,2000-03-10 08:59:00,269958
2000-03-11 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,10.4,0,6,NA,2000-03-11 08:53:00,268524
2000-03-12 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.4,0,6,NA,2000-03-12 08:57:00,267080
2000-03-13 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,2.1,0,6,NA,2000-03-13 08:55:00,265642
2000-03-14 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5,0,6,NA,2000-03-14 08:53:00,264204
2000-03-15 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,5,0,6,NA,2000-03-15 08:55:00,262762
2000-03-16 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.4,0,6,NA,2000-03-16 08:56:00,261321
2000-03-17 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.2,0,6,NA,2000-03-17 08:55:00,259882
2000-03-18 00:00:00,768249,RAIN,1,NCM,900,1,19,1011,0.3,0,6,NA,2000-03-18 08:56:00,258441
